"state","fdid","fd_name","year","type","total","structure","mobile","mh","veg","rubbish","special","crop","other","not_fire"
"CO","05909","WEST METRO FIRE RESCUE","2004","Other","1083","214","108","2","69","86","18","2","49","535"
"CO","05909","WEST METRO FIRE RESCUE","2005","Other","1001","192","98","2","67","67","18","0","31","526"
"CO","05909","WEST METRO FIRE RESCUE","2006","Other","1026","175","88","3","86","80","18","2","29","545"
"CO","05909","WEST METRO FIRE RESCUE","2007","Other","988","167","66","2","62","62","9","2","36","582"
"CO","05909","WEST METRO FIRE RESCUE","2008","Other","1080","157","74","1","127","58","6","4","27","626"
"CO","05909","WEST METRO FIRE RESCUE","2009","Other","1141","152","50","0","72","52","12","1","52","750"
"CO","05909","WEST METRO FIRE RESCUE","2010","Other","1420","158","77","0","90","54","25","0","0","1016"
"CO","05909","WEST METRO FIRE RESCUE","2011","Other","1633","198","69","0","72","50","31","0","0","1213"
"CO","05909","WEST METRO FIRE RESCUE","2012","Other","1631","202","66","4","77","53","19","0","0","1210"
"CO","05909","WEST METRO FIRE RESCUE","2013","Other","1036","179","65","3","41","45","16","0","0","687"
"CO","05909","WEST METRO FIRE RESCUE","2014","Other","1012","208","60","4","50","66","23","0","0","601"
"CO","05909","WEST METRO FIRE RESCUE","2015","Other","819","165","59","2","33","43","20","0","0","497"
"CO","05909","WEST METRO FIRE RESCUE","2016","Battery","2","2","0","0","0","0","0","0","0","0"
"CO","05909","WEST METRO FIRE RESCUE","2016","Other","1294","225","83","5","99","68","40","1","0","773"
"CO","05909","WEST METRO FIRE RESCUE","2017","Battery","3","2","0","0","0","1","0","0","0","0"
"CO","05909","WEST METRO FIRE RESCUE","2017","Other","34905","250","88","4","113","66","41","0","0","34343"
"CO","05909","WEST METRO FIRE RESCUE","2018","Battery","5","5","0","0","0","0","0","0","0","0"
"CO","05909","WEST METRO FIRE RESCUE","2018","Other","34838","242","99","7","93","140","54","1","0","34202"
"CO","05909","WEST METRO FIRE RESCUE","2019","Battery","1","0","1","0","0","0","0","0","0","0"
"CO","05909","WEST METRO FIRE RESCUE","2019","Other","35992","156","91","1","58","136","14","0","4","35532"
"CO","05909","WEST METRO FIRE RESCUE","2020","Battery","3","2","0","0","0","0","1","0","0","0"
"CO","05909","WEST METRO FIRE RESCUE","2020","Other","35178","160","63","2","103","208","28","0","14","34600"
"CO","05909","WEST METRO FIRE RESCUE","2021","Other","32991","128","80","3","80","215","18","1","9","32457"
"CO","05909","WEST METRO FIRE RESCUE","2022","Other","41196","143","91","4","88","240","18","1","15","40596"
"CO","05909","WEST METRO FIRE RESCUE","2023","Battery","2","1","1","0","0","0","0","0","0","0"
"CO","05909","WEST METRO FIRE RESCUE","2023","Other","41113","141","97","3","56","178","17","2","9","40610"
"FL","04112","ST PETERSBURG FIRE RESCUE","2002","Other","41501","399","285","6","184","99","6","184","8","40330"
"FL","04112","ST PETERSBURG FIRE RESCUE","2003","Other","41796","361","259","6","154","114","7","151","9","40735"
"FL","04112","ST PETERSBURG FIRE RESCUE","2004","Other","2477","399","263","6","175","99","8","196","5","1326"
"FL","04112","ST PETERSBURG FIRE RESCUE","2005","Other","2184","534","260","5","107","201","39","1","118","919"
"FL","04112","ST PETERSBURG FIRE RESCUE","2006","Other","2153","514","201","0","138","197","35","1","172","895"
"FL","04112","ST PETERSBURG FIRE RESCUE","2007","Battery","1","0","1","0","0","0","0","0","0","0"
